start,end,count,path
Chukei Plains,1567 DR,12,Chukei Plains -> Plain of Horses -> 1357 DR -> Turmish -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Potion of tragic heroism,1567 DR,12,Potion of tragic heroism -> Jean Rabe -> Forgotten Realms -> Portal:Novels -> List of novels in chronological order -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Red Boar Inn,1567 DR,11,Red Boar Inn -> Half-orc -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR -> 1567 DR
Hellborn shadow,Hellborn shadow,0,Hellborn shadow
Priapus,Logan's Walk,11,Priapus -> 1355 DR -> Alturiak 14 -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Donalbain,1562 DR,11,Donalbain -> 1367 DR -> Auril -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR
The Retreat,1567 DR,12,The Retreat -> Retreat -> 1374 DR -> Maiden of Pain -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Frostborn raid pigaches,1567 DR,12,Frostborn raid pigaches -> Frostborn armor -> Icewind Dale -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR -> 1567 DR
Taak Lake,1562 DR,11,Taak Lake -> Alpuk -> White dragon -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR
841 DR,1567 DR,11,841 DR -> Ches 16 -> Realms of the Dead -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Hammer 17,1567 DR,11,Hammer 17 -> Fzoul Chembryl -> Realms of the Dead -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Jasmir,Logan's Walk,11,Jasmir -> 1375 DR -> Alturiak 14 -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Mistfall house,Logan's Walk,11,Mistfall house -> 1367 DR -> Alturiak 14 -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Kettle,1567 DR,12,Kettle -> Cauldron -> Aurora's Emporium -> Erlkazar -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Fowl stew,Logan's Walk,11,Fowl stew -> Cinnamon -> Adam Lee -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Grounding,Logan's Walk,11,Grounding -> Abjuration -> Player's Handbook 5th edition -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Summon lock lurker,1567 DR,12,Summon lock lurker -> Animal sphere -> Richard Baker -> Realms of the Dead -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Drums of Daggerford,1562 DR,11,Drums of Daggerford -> 1368 DR -> Faerie dragon -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR
Nistlor Lothlyn,1567 DR,11,Nistlor Lothlyn -> Human -> Turmish -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Cyclocone,1567 DR,11,Cyclocone -> Ahghairon -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR -> 1567 DR
Raven's Egg,Logan's Walk,12,Raven's Egg -> Realms of Infamy/Raven's Egg -> Bookworm -> Book -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Pelendethas Everstride,1567 DR,11,Pelendethas Everstride -> 1479 DR -> Realms of the Dead -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Gor,1567 DR,12,Gor -> Dungsweepers' Guild -> Adventurers League -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR -> 1567 DR
Jhentyr Campion II,1567 DR,11,Jhentyr Campion II -> Dragon Coast -> Turmish -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Mouth harp,1567 DR,11,Mouth harp -> Bard -> Turmish -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Ildryn Thallin,Logan's Walk,11,Ildryn Thallin -> 240 DR -> Alturiak 14 -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
City Guard (Qudra),1567 DR,11,City Guard (Qudra) -> Human -> Turmish -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Great Thaw,1567 DR,11,Great Thaw -> Icewind Dale -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR -> 1567 DR
Iwna Thesk,Logan's Walk,11,Iwna Thesk -> 1180 DR -> Alturiak 14 -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Bigby Presents: Glory of the Giants,1570 DR,10,Bigby Presents: Glory of the Giants -> Acquisitions Incorporated (sourcebook) -> Apple -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR
Daggerfold,1567 DR,12,Daggerfold -> Daggerford -> 1374 DR -> Maiden of Pain -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Stormrider,Logan's Walk,11,Stormrider -> Cloak -> Dungeons & Dragons Starter Set -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Korbus Brightjewel,1570 DR,11,Korbus Brightjewel -> Daggerford -> 1374 DR -> Maiden of Pain -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR
Hawk Lord,1562 DR,11,Hawk Lord -> Aerdrie Faenya -> Aarakocra -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR
Loregiver,Logan's Walk,11,Loregiver -> Arabian Adventures -> Portal:Sourcebooks -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Nis,Logan's Walk,11,Nis -> Angul -> Aboleth -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
High House of Wonders,1567 DR,11,High House of Wonders -> 1492 DR -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR -> 1567 DR
Spotted mushroom,Logan's Walk,11,Spotted mushroom -> Adventurer -> Bard -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Jaluth Alaerth,1567 DR,11,Jaluth Alaerth -> Auril -> Dragon magazine 236 -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Jerry Holkins,1567 DR,11,Jerry Holkins -> Acquisitions Incorporated (sourcebook) -> Apple -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Rahannsoz Burihildar,1567 DR,11,Rahannsoz Burihildar -> Human -> Turmish -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Ancient Ones,Logan's Walk,11,Ancient Ones -> 1362 DR -> Alturiak 14 -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Que Nhon,1562 DR,11,Que Nhon -> Desert of Desolation -> Ale -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR
Demipower,Logan's Walk,12,Demipower -> Demigod -> Cleric -> Acquisitions Incorporated (sourcebook) -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Alex Lenter's Storage,1567 DR,11,Alex Lenter's Storage -> City of Splendors: Waterdeep -> Maiden of Pain -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Machairi,Logan's Walk,11,Machairi -> 1374 DR -> Alturiak 14 -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Flashburst,Logan's Walk,11,Flashburst -> Ed Greenwood -> City System -> Trollfort -> Trollyard -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Hoktant chaka,Logan's Walk,11,Hoktant chaka -> Estagund -> Beholder -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Khanduq,1567 DR,11,Khanduq -> Empires of the Shining Sea -> Apple -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Jug,1567 DR,11,Jug -> Baldur's Gate III -> Apple -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Aubrin Crownsilver,1567 DR,11,Aubrin Crownsilver -> 1479 Dr -> Realms of the Dead -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Enclave of Red Magic,1567 DR,11,Enclave of Red Magic -> 1369 DR -> Erlkazar -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Kurudo,Logan's Walk,11,Kurudo -> Bushi -> Bard -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Endurance,1567 DR,12,Endurance -> Bear's endurance -> Player's Handbook 5th edition -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR -> 1567 DR
Rock of Battle,1567 DR,12,Rock of Battle -> Clangeddin Silverbeard -> Auril -> Dragon magazine 236 -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Hitoshi Jade,1567 DR,11,Hitoshi Jade -> Baldur's Gate: Descent into Avernus -> Kenku -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Verenestra,Logan's Walk,11,Verenestra -> Anne Gray McCready -> Kim Mohan -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Deafness,1567 DR,12,Deafness -> Blindness or deafness -> 1360 DR -> Erlkazar -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Sky Pony,1567 DR,12,Sky Pony -> Sky Pony Tribe -> A Reader's Guide to R. A. Salvatore's the Legend of Drizzt -> Barghest -> Dawnbringer (novel) -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Dimensional warper,Logan's Walk,11,Dimensional warper -> David Cook -> Kim Mohan -> Waterdeep: Dragon Heist -> Twelvedog Court -> Fieldway -> Nanze Street -> Northyard -> Leanwall Alley -> Chop Street -> Gawenknife Street -> Logan's Walk
Initiate of Kossuth,Initiate of Kossuth,0,Initiate of Kossuth
Nexlit,1567 DR,12,Nexlit -> 1368 DR -> 1369 DR -> Erlkazar -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Tuigan,1567 DR,11,Tuigan -> 1360 DR -> Erlkazar -> Saestra Karanok -> 1600 DR -> 1595 DR -> 1590 DR -> 1585 DR -> 1580 DR -> 1575 DR -> 1570 DR -> 1567 DR
Viconia's Walking Fortress,1567 DR,11,Viconia's Walking Fortress -> 1492 DR -> Waterdeep: Dungeon of the Mad Mage -> 1531 DR -> 1532 DR -> 1537 DR -> 1542 DR -> 1547 DR -> 1552 DR -> 1557 DR -> 1562 DR -> 1567 DR
